Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,254.6625,-52.3875,90.0,bottom
C2,22pF,C_0402_1005Metric,250.1625,-53.349375,90.0,bottom
C3,4.7nF,C_0402_1005Metric,138.93775,18.1745,270.0,bottom
C4,100nF,C_0402_1005Metric,270.4625,-28.986,270.0,bottom
C5,1uF,C_0402_1005Metric,149.59775,7.1145,180.0,bottom
C6,1uF,C_0402_1005Metric,149.59775,2.6145,180.0,bottom
C7,1uF,C_0402_1005Metric,245.8425,-36.425,0.0,bottom
C8,100nF,C_0402_1005Metric,252.9125,-33.3375,90.0,bottom
C9,100nF,C_0402_1005Metric,244.8425,-52.3875,270.0,bottom
C10,4.7uF,C_0402_1005Metric,149.59775,1.6145,180.0,bottom
C11,1uF,C_0402_1005Metric,245.8425,-37.425,0.0,bottom
C12,100nF,C_0402_1005Metric,250.9125,-33.3375,90.0,bottom
C13,100nF,C_0402_1005Metric,251.9125,-33.3375,90.0,bottom
C14,100nF,C_0402_1005Metric,253.9125,-33.3375,90.0,bottom
C15,100nF,C_0402_1005Metric,245.8425,-38.425,0.0,bottom
C16,100nF,C_0402_1005Metric,245.8425,-39.425,0.0,bottom
C17,100nF,C_0402_1005Metric,258.9825,-39.425,180.0,bottom
C18,100nF,C_0402_1005Metric,245.8425,-43.8625,0.0,bottom
C19,100nF,C_0402_1005Metric,258.9825,-43.8625,180.0,bottom
C20,100nF,C_0402_1005Metric,246.8425,-52.3875,270.0,bottom
D2,D_Small,D_SOD-123,22.15,-1.65,90.0,bottom
D3,D_Small,D_SOD-123,41.2,-1.65,90.0,bottom
D4,D_Small,D_SOD-123,60.25,-1.65,90.0,bottom
D5,D_Small,D_SOD-123,79.3,-1.65,90.0,bottom
D6,D_Small,D_SOD-123,98.35,-1.65,90.0,bottom
D7,D_Small,D_SOD-123,117.4,-1.65,90.0,bottom
D8,D_Small,D_SOD-123,174.55,3.1125,90.0,bottom
D9,D_Small,D_SOD-123,193.6,3.1125,90.0,bottom
D10,D_Small,D_SOD-123,206.45,3.1125,90.0,bottom
D11,D_Small,D_SOD-123,231.7,3.1125,90.0,bottom
D12,D_Small,D_SOD-123,255.5125,3.1125,90.0,bottom
D13,D_Small,D_SOD-123,274.5625,3.1125,90.0,bottom
D14,D_Small,D_SOD-123,293.6125,3.1125,90.0,bottom
D15,D_Small,D_SOD-123,3.1,-20.7,90.0,bottom
